rule_id,family,instrument,campaign_condition,holding_state,tf_relationship,navigation_intent,status_label,conclusion,evidence_bullets,decision_change,prohibited_wording,required_api_fields,confidence_label
H-call-dte-low,holding,long call,*,high DTE pressure,*,*,Time pressure,"Under about 10 days to expiration, time decay is the dominant factor regardless of structure.","days-to-expiration <= 10","the position is closed or rolled","it still has time",expiration; first_entry,mechanical
H-put-itm,holding,long put,*,ITM,*,*,Put in the money,"The put has intrinsic value — it is doing its job as downside protection.","itm is true | current_price below strike","structure repairs (→ reduce / close)","free insurance",itm; strike; current_price,mechanical
H-put-otm,holding,long put,*,OTM,*,*,Put out of the money,"The put is out of the money; it is costing time decay while the underlying stays above strike.","itm is false | current_price at or above strike","the underlying breaks below the strike (→ ITM)","insurance that pays anytime",itm; strike; current_price,mechanical
H-multileg,holding,multi-leg option,*,*,*,*,Multi-leg (future-ready),"Net exposure is not yet computable from the manual positions model — future-ready, no automatic guidance.","no leg-level roles or net exposure available in the current data model","the data model adds leg roles or net Greeks","netting legs without data",(none yet),no-basis
TF-contained,tf,*,*,*,weakness contained,*,Weakness contained,"Lower timeframes are weak but higher tiers are intact — pressure has not propagated to the deciding tiers.","micro / timing tone neg or warn | backbone / owner tone pos or neu","weakness reaches the Confirmation or Campaign tier","the pullback is over",tier.tone (micro → backbone),confirming
TF-propagating,tf,*,*,*,weakness propagating,*,Weakness propagating,"Lower-timeframe weakness is spreading into the deciding tiers — the repair is failing.","neg tone moves from micro / timing up into confirm / owner","an upper-tier RELOAD stops the bleed","it's just short-term noise",tier.tone,structural
TF-intact,tf,*,*,*,higher-TF intact,*,Higher-TF intact,"Direction / Campaign remain intact above the noise — the larger structure still holds.","backbone / owner tone pos or healthy | lower tiers mixed","backbone / owner break (→ broken)","set and forget",tier.tone,structural
TF-confirmed,tf,*,*,*,multi-TF confirmation,*,Multi-TF confirmation,"Multiple timeframes agree — the strongest evidence the engine produces.","two or more tiers share a tone (especially owner + confirm)","a conflict appears on a deciding tier","confirmed equals certain",tier.tone,confirmed
TF-conflict,tf,*,*,*,conflicting evidence,*,Conflicting evidence,"Timeframes disagree — the slower tier is the authority, not the noisier one.","neg tone on one tier and pos on another","one side resolves","picking the timeframe that fits the thesis",tier.tone,inferred
INT-hold,intent,*,*,*,*,hold,hold,"Keep the position unchanged; no threshold crossed.","-","-","-","-",-
INT-wait,intent,*,*,*,*,wait,wait,"Take no action and await the next DNA event or confirmation.","-","-","-","-",-
INT-protect,intent,*,*,*,*,protect,protect,"Reduce downside risk without a full exit.","-","-","do not claim a hedge unless a protective leg is actually held","-",-
INT-reduce,intent,*,*,*,*,reduce,reduce,"Scale down size to lock partial gains or cut partial losses.","-","-","-","-",-
INT-close,intent,*,*,*,*,close / stand aside,close / stand aside,"Exit the holding; optionally remain out until structure repairs.","-","-","do not imply re-entry timing","-",-
INT-add,intent,*,*,*,*,add after confirmation,add after confirmation,"Add size only after the next event (ADD / MANAGE) confirms the signal.","-","-","forbid adding on a single unconfirmed reading","-",-
INT-roll,intent,*,*,*,*,consider roll,consider roll,"Change strike or expiry to stay in a constructive campaign.","-","-","never prescribe a roll without chain evidence; no premium sizing","-",-
INT-decay,intent,*,*,*,*,monitor time decay,monitor time decay,"No directional action; track DTE pressure.","-","-","do not quantify decay (no Greeks)","-",-
CMP-share-broken,composition,shares,broken,*,*,protect,"Protect shares","A broken structure under open shares is a risk conversation, not an opportunity.","campaign condition broken | holding profitable or at a loss","a RELOAD fires on a deciding tier","buying the dip / adding to a broken campaign",tier.tone; total_return_pct; avg_cost,structural
CMP-share-weakening,composition,shares,weakening,*,*,protect,"Protect shares","A weakening structure under shares argues for tightening the stop, not chasing.","campaign condition weakening | holding profitable or at a loss","PEAK/MANAGE rolls into a FAIL (→ close / reduce)","riding it because it is still up",tier.tone; total_return_pct,structural
CMP-share-repairing,composition,shares,repairing,*,*,hold,"Hold shares","A repair is in progress; hold while it is confirmed, do not add early.","campaign condition repairing | lower-TF pos while upper neu","next event is ADD/MANAGE (→ expanding, add after confirmation) or FAIL TEST (→ protect)","front-running the repair",state.recent_event; tier.tone,structural-unconfirmed
CMP-share-expanding,composition,shares,expanding,*,*,add after confirmation,"Hold, add after confirmation","An expanding campaign supports shares; add only after the next event confirms.","campaign condition expanding | higher-TF intact or multi-TF confirmed","PEAK/MANAGE fires (→ weakening)","pyramiding into strength without confirmation",state.recent_event; tier.tone,confirmed
CMP-share-constructive,composition,shares,constructive,*,*,hold,"Hold shares","A constructive but unproven setup supports holding; nothing forces action.","campaign condition constructive | confirm/timing pos","campaign tier fires IGNITION (→ expanding) or FAIL (→ protect)","confirmation equals go",tier.tone,structural-unconfirmed
CMP-share-uncertain,composition,shares,uncertain,*,*,wait,"Wait on shares","No dominant reading; wait for a classified event before acting.","campaign condition uncertain | stale or WAIT","any tier fires a classified event","acting on silence",state.phase; state.bar_time,no-basis
CMP-call-broken,composition,long call,broken,*,*,close / stand aside,"Close the call","A broken structure under a long call argues for exit — decay works against waiting.","campaign condition broken | DTE pressure may be present","a RELOAD fires on a deciding tier","holding a call through a breakdown to 'wait it out'",tier.tone; expiration; itm,structural
CMP-call-weakening,composition,long call,weakening,*,*,reduce,"Reduce the call","A weakening structure and time decay both work against a long call; scale down.","campaign condition weakening | itm or otm","PEAK/MANAGE rolls into FAIL (→ close)","waiting for it to come back",tier.tone; expiration; itm,structural
CMP-call-repairing,composition,long call,repairing,*,*,hold,"Hold the call","A repair is underway; hold if time allows, but decay sets the clock.","campaign condition repairing | dte comfortable","DTE drops under ~10 (→ monitor time decay) or repair fails (→ close)","holding through a failed repair",state.recent_event; expiration,structural-unconfirmed
CMP-call-expanding,composition,long call,expanding,ITM,*,consider roll,"Consider rolling the call","An expanding campaign and an ITM call with time left support locking some gain via a roll.","campaign condition expanding | itm true | dte > 21","a PEAK/MANAGE fires (→ reduce)","rolling without chain evidence",state.recent_event; itm; strike; expiration; avg_cost,confirmed
CMP-call-expanding-otm,composition,long call,expanding,OTM,*,hold,"Hold the OTM call","An expanding campaign can still reach an OTM strike, but the position is pure time value.","campaign condition expanding | itm false","DTE drops under ~10 (→ monitor time decay)", "assuming the move is guaranteed",tier.tone; itm; expiration,structural
CMP-call-constructive,composition,long call,constructive,*,*,hold,"Hold the call","A constructive but unproven setup supports holding; decay is the only pressure.","campaign condition constructive | itm or otm","campaign tier fires IGNITION (→ expanding) or FAIL (→ close)","confirmation equals go",tier.tone; expiration,structural-unconfirmed
CMP-call-uncertain,composition,long call,uncertain,*,*,monitor time decay,"Monitor decay on the call","With no structural edge, the only live factor on a long call is time decay.","campaign condition uncertain | dte finite","a classified event fires","acting on silence",state.phase; expiration,no-basis
CMP-put-broken,composition,long put,broken,*,*,hold,"Hold the put","A broken structure helps a long put — it is doing its job as downside protection.","campaign condition broken | itm true (or approaching)","structure repairs (→ reduce / close)","closing protection right when it is working",tier.tone; itm; strike,structural
CMP-put-weakening,composition,long put,weakening,*,*,hold,"Hold the put","A weakening structure supports a long put; no reason to exit early.","campaign condition weakening | itm or otm","structure repairs (→ reduce)", "taking profit too early in a breakdown",tier.tone; itm,structural
CMP-put-repairing,composition,long put,repairing,*,*,reduce,"Reduce the put","A repair is underway against a put — lock some gain as the downside thesis weakens.","campaign condition repairing | profitable or flat","repair confirms (→ close) or fails (→ hold)", "fighting a repair that is holding",state.recent_event; total_return_pct,structural-unconfirmed
CMP-put-expanding,composition,long put,expanding,*,*,close / stand aside,"Close the put","An expanding campaign works against a long put — the downside thesis is invalidated.","campaign condition expanding | itm false or flat","a PEAK/FAIL fires (→ reconsider)","holding a put into strength",tier.tone; itm; total_return_pct,confirmed
CMP-put-constructive,composition,long put,constructive,*,*,reduce,"Reduce the put","A constructive setup argues against a long put; scale down unless protecting shares.","campaign condition constructive | itm false", "a FAIL event fires (→ hold)", "hoping for a crash that isn't set up",tier.tone; itm,structural-unconfirmed
CMP-put-uncertain,composition,long put,uncertain,*,*,monitor time decay,"Monitor decay on the put","No structural edge either way; on a long put, decay is the only live factor.","campaign condition uncertain | dte finite","a classified event fires","acting on silence",state.phase; expiration,no-basis
CMP-multileg,composition,multi-leg option,*,*,*,wait,"Multi-leg: no automatic guidance","Multi-leg net exposure is not computable from the manual model — show the facts, emit no automatic intent.","no leg roles available","data model adds leg roles or net exposure","netting legs without data",(none yet),no-basis
